"選課代號","星期","節"
2132,"一",9
2132,"一",10
3767,"一",3
3767,"一",4
2134,"五",2
2134,"五",3
2134,"五",4
2135,"二",9
2135,"二",10
2136,"四",2
2136,"四",3
2136,"四",4
2137,"一",6
2137,"一",7
2138,"三",6
2138,"三",7
2138,"三",8
2139,"二",8
2139,"三",11
2148,"二",11
2148,"二",12
2148,"二",13
2149,"四",11
2149,"四",12
2149,"四",13
2140,"一",9
2140,"一",10
2142,"二",2
2142,"二",3
2142,"二",4
2143,"三",9
2143,"三",10
2144,"五",2
2144,"五",3
2144,"五",4
2145,"三",3
2145,"三",4
2146,"四",6
2146,"四",7
2146,"四",8
2147,"二",7
2147,"三",12
2150,"二",7
2150,"二",8
2150,"二",9
2151,"二",2
2151,"二",3
2151,"二",4
2152,"一",2
2152,"一",3
2152,"一",4
2153,"四",8
2153,"四",9
2154,"四",2
2154,"四",3
2154,"四",4
2162,"五",2
2162,"五",3
2162,"五",4
2163,"三",6
2163,"三",7
2163,"三",8
2164,"一",11
2164,"一",12
2164,"一",13
2165,"一",6
2165,"一",7
2165,"一",8
2166,"三",11
2166,"三",12
2166,"三",13
2167,"五",2
2167,"五",3
2167,"五",4
2156,"四",8
2156,"四",9
2156,"四",10
2157,"四",2
2157,"四",3
2157,"四",4
2158,"二",2
2158,"二",3
2158,"二",4
2159,"二",6
2159,"二",7
2160,"三",2
2160,"三",3
2160,"三",4
2168,"四",6
2168,"四",7
2168,"四",8
2170,"二",2
2170,"二",3
2170,"二",4
2171,"三",2
2171,"三",3
2171,"三",4
2176,"三",6
2176,"三",7
2176,"三",8
2177,"二",11
2177,"二",12
2177,"二",13
2178,"五",6
2178,"五",7
2178,"五",8
2179,"五",2
2179,"五",3
2179,"五",4
2180,"四",6
2180,"四",7
2180,"四",8
2181,"三",6
2181,"三",7
2181,"三",8
2182,"二",8
2182,"二",9
2182,"二",10
2184,"二",7
2184,"二",8
2184,"二",9
2185,"四",11
2185,"四",12
2185,"四",13
2172,"四",2
2172,"四",3
2172,"四",4
2174,"三",2
2174,"三",3
2174,"三",4
2175,"二",2
2175,"二",3
2175,"二",4
2186,"一",11
2186,"一",12
2186,"一",13
2188,"四",2
2188,"四",3
2188,"四",4
2189,"三",7
2189,"三",8
2189,"三",9
2190,"二",2
2190,"二",3
2190,"二",4
2191,"三",2
2191,"三",3
2191,"三",4
2192,"二",6
2192,"二",7
2192,"二",8
2193,"三",11
2193,"三",12
2193,"三",13
2194,"二",6
2194,"二",7
2194,"二",8
2195,"一",6
2195,"一",7
2195,"一",8
2196,"二",2
2196,"二",3
2196,"二",4
2198,"四",7
2198,"四",8
2198,"四",9
2202,"五",7
2202,"五",8
2202,"五",9
2203,"五",2
2203,"五",3
2203,"五",4
2969,"一",6
2969,"一",7
2862,"四",6
2862,"四",7
2863,"四",8
2863,"四",9
2864,"一",6
2864,"一",7
2865,"一",8
2865,"一",9
2866,"二",8
2866,"二",9
2867,"二",1
2867,"二",2
2868,"四",3
2868,"四",4
2869,"二",8
2869,"二",9
2870,"三",3
2870,"三",4
2871,"三",8
2871,"三",9
2872,"二",6
2872,"二",7
2873,"二",8
2873,"二",9
2874,"四",3
2874,"四",4
2875,"五",6
2875,"五",7
2876,"一",3
2876,"一",4
2877,"一",6
2877,"一",7
2878,"一",1
2878,"一",2
2879,"五",8
2879,"五",9
2880,"五",6
2880,"五",7
2881,"二",3
2881,"二",4
2882,"四",3
2882,"四",4
2883,"四",8
2883,"四",9
2884,"三",3
2884,"三",4
2885,"四",6
2885,"四",7
2886,"三",8
2886,"三",9
2887,"二",3
2887,"二",4
2888,"五",3
2888,"五",4
2889,"四",3
2889,"四",4
2890,"一",3
2890,"一",4
2891,"三",6
2891,"三",7
2892,"三",8
2892,"三",9
2893,"四",8
2893,"四",9
2894,"一",8
2894,"一",9
2895,"一",6
2895,"一",7
2896,"二",6
2896,"二",7
2897,"一",8
2897,"一",9
2898,"二",6
2898,"二",7
2899,"二",8
2899,"二",9
2900,"二",8
2900,"二",9
2901,"二",6
2901,"二",7
2902,"一",6
2902,"一",7
2903,"三",6
2903,"三",7
2904,"四",6
2904,"四",7
2905,"一",8
2905,"一",9
2906,"一",6
2906,"一",7
2907,"二",8
2907,"二",9
2908,"二",6
2908,"二",7
2909,"五",5
2909,"五",6
2910,"四",3
2910,"四",4
2911,"一",1
2911,"一",2
2912,"二",8
2912,"二",9
2913,"三",8
2913,"三",9
2914,"三",3
2914,"三",4
2915,"三",6
2915,"三",7
2916,"一",6
2916,"一",7
2917,"五",6
2917,"五",7
2918,"三",3
2918,"三",4
2919,"三",6
2919,"三",7
2920,"四",3
2920,"四",4
2921,"四",8
2921,"四",9
2922,"一",8
2922,"一",9
2923,"三",6
2923,"三",7
2924,"三",8
2924,"三",9
2925,"五",3
2925,"五",4
2926,"五",3
2926,"五",4
2927,"二",8
2927,"二",9
2928,"三",1
2928,"三",2
2929,"一",3
2929,"一",4
2930,"一",3
2930,"一",4
2931,"五",6
2931,"五",7
2932,"五",8
2932,"五",9
2933,"三",8
2933,"三",9
2934,"一",3
2934,"一",4
2935,"四",6
2935,"四",7
2936,"二",8
2936,"二",9
2937,"二",1
2937,"二",2
2938,"四",8
2938,"四",9
2939,"五",9
2939,"五",10
2940,"五",9
2940,"五",10
2941,"三",8
2941,"三",9
2942,"二",9
2942,"二",10
2943,"二",8
2943,"二",9
3808,"一",3
3808,"一",4
2944,"四",8
2944,"四",9
2945,"五",6
2945,"五",7
2946,"五",8
2946,"五",9
2947,"二",6
2947,"二",7
2948,"四",8
2948,"四",9
2949,"四",3
2949,"四",4
2950,"四",1
2950,"四",2
2951,"五",1
2951,"五",2
2952,"五",3
2952,"五",4
2953,"四",1
2953,"四",2
2954,"四",3
2954,"四",4
2955,"二",9
2955,"二",10
2956,"三",8
2956,"三",9
2957,"三",6
2957,"三",7
2958,"四",8
2958,"四",9
2959,"二",1
2959,"二",2
2960,"二",3
2960,"二",4
2961,"一",3
2961,"一",4
2962,"三",6
2962,"三",7
2963,"一",6
2963,"一",7
2964,"一",8
2964,"一",9
2965,"五",3
2965,"五",4
2966,"三",1
2966,"三",2
2967,"三",3
2967,"三",4
2968,"一",8
2968,"一",9
2970,"五",1
2970,"五",2
2971,"一",3
2971,"一",4
2972,"三",3
2972,"三",4
2973,"三",1
2973,"三",2
2974,"二",8
2974,"二",9
2975,"三",10
2975,"三",11
3809,"一",6
3809,"一",7
2976,"四",6
2976,"四",7
2977,"四",8
2977,"四",9
2978,"三",6
2978,"三",7
2979,"三",8
2979,"三",9
2980,"五",8
2980,"五",9
2981,"三",3
2981,"三",4
2982,"五",8
2982,"五",9
2983,"二",3
2983,"二",4
2984,"二",10
2984,"二",11
2985,"三",6
2985,"三",7
2986,"三",6
2986,"三",7
2987,"二",3
2987,"二",4
3817,"一",11
3817,"一",12
3818,"一",3
3818,"一",4
2988,"一",6
2988,"一",7
2989,"四",6
2989,"四",7
2991,"一",9
2991,"一",10
2992,"三",6
2992,"三",7
2993,"五",9
2993,"五",10
2994,"五",6
2994,"五",7
2995,"五",6
2995,"五",7
2996,"五",3
2996,"五",4
2997,"二",3
2997,"二",4
2998,"五",6
2998,"五",7
2999,"五",3
2999,"五",4
3000,"五",6
3000,"五",7
3001,"二",6
3001,"二",7
3002,"四",3
3002,"四",4
3815,"二",11
3815,"二",12
3816,"四",11
3816,"四",12
3827,"二",6
3827,"二",7
3828,"二",8
3828,"二",9
3829,"三",3
3829,"三",4
3004,"五",7
3004,"五",8
3006,"一",3
3006,"一",4
3007,"一",8
3007,"一",9
3008,"一",10
3008,"一",11
3009,"三",3
3009,"三",4
3010,"五",8
3010,"五",9
3820,"二",10
3820,"二",11
3011,"二",6
3011,"二",7
3012,"五",5
3012,"五",6
3013,"三",3
3013,"三",4
3897,"一",6
3897,"一",7
3897,"一",8
3898,"四",2
3898,"四",3
3898,"四",4
3899,"五",2
3899,"五",3
3899,"五",4
3900,"五",7
3900,"五",8
3900,"五",9
3014,"四",8
3014,"四",9
3810,"五",8
3810,"五",9
3813,"二",6
3813,"二",7
3889,"一",11
3889,"一",12
3891,"五",6
3891,"五",7
3892,"五",6
3892,"五",7
3893,"三",11
3893,"三",12
3015,"三",11
3015,"三",12
3016,"一",11
3016,"一",12
3017,"一",11
3017,"一",12
3018,"一",11
3018,"一",12
3019,"一",11
3019,"一",12
3020,"二",13
3020,"二",14
3021,"一",11
3021,"一",12
3022,"二",13
3022,"二",14
3023,"三",13
3023,"三",14
3024,"二",11
3024,"二",12
3025,"五",11
3025,"五",12
3026,"五",13
3026,"五",14
3027,"三",11
3027,"三",12
3028,"一",11
3028,"一",12
3029,"一",11
3029,"一",12
3030,"四",13
3030,"四",14
3031,"一",11
3031,"一",12
3032,"四",13
3032,"四",14
3033,"二",11
3033,"二",12
3034,"四",11
3034,"四",12
3035,"三",11
3035,"三",12
3036,"三",13
3036,"三",14
3037,"二",11
3037,"二",12
3038,"四",11
3038,"四",12
3039,"二",11
3039,"二",12
3040,"四",11
3040,"四",12
3041,"三",13
3041,"三",14
3042,"一",13
3042,"一",14
3043,"五",13
3043,"五",14
3045,"四",11
3045,"四",12
3048,"一",13
3048,"一",14
3049,"一",11
3049,"一",12
3812,"一",11
3812,"一",12
3811,"二",13
3811,"二",14
1274,"一",7
1276,"一",1
1276,"一",2
1276,"一",3
1276,"一",4
1276,"四",3
1276,"四",4
1277,"一",1
1277,"一",2
1277,"一",3
1277,"一",4
1277,"四",3
1277,"四",4
1278,"五",6
1278,"五",7
1278,"五",8
1279,"四",6
1279,"四",7
1280,"三",6
1280,"三",7
1280,"五",4
1281,"三",3
1281,"三",4
1281,"四",2
1282,"一",6
1282,"五",1
1282,"五",2
1283,"二",2
1283,"二",3
1283,"二",4
1284,"一",7
1286,"三",8
1286,"三",9
1286,"四",7
1286,"四",8
1286,"四",9
1286,"四",10
1287,"三",8
1287,"三",9
1287,"四",7
1287,"四",8
1287,"四",9
1287,"四",10
1288,"三",2
1288,"三",3
1288,"三",4
1289,"五",1
1289,"五",2
1290,"一",3
1290,"一",4
1290,"四",1
1291,"二",3
1291,"四",3
1291,"四",4
1292,"一",1
1292,"一",2
1292,"四",2
1293,"一",11
1293,"一",12
1293,"一",13
1294,"一",7
1296,"三",8
1296,"三",9
1296,"四",1
1296,"四",2
1296,"四",3
1296,"四",4
1297,"三",8
1297,"三",9
1297,"四",1
1297,"四",2
1297,"四",3
1297,"四",4
1298,"二",8
1298,"二",9
1298,"二",10
1299,"一",8
1299,"一",9
1300,"三",6
1300,"四",6
1300,"四",7
1301,"一",3
1301,"一",4
1301,"二",2
1302,"二",3
1302,"二",4
1302,"四",9
1303,"五",2
1303,"五",3
1303,"五",4
3779,"三",1
3779,"三",2
1304,"一",7
1304,"三",8
1304,"三",9
1305,"一",3
1305,"一",4
1305,"二",6
1306,"一",1
1306,"一",2
1306,"二",7
1310,"二",8
1310,"四",3
1310,"四",4
1311,"二",2
1311,"三",6
1311,"三",7
1326,"三",10
1326,"五",6
1326,"五",7
1312,"二",3
1312,"二",4
1327,"五",3
1327,"五",4
1328,"二",9
1328,"二",10
1328,"三",10
1329,"四",8
1329,"五",3
1329,"五",4
1330,"二",9
1330,"二",10
1330,"四",8
1313,"三",3
1313,"四",6
1313,"四",7
1314,"一",9
1314,"一",10
3780,"三",1
3780,"三",2
1307,"一",3
1307,"一",4
1307,"四",2
1308,"一",6
1308,"一",7
1308,"三",8
1309,"一",1
1309,"一",2
1309,"二",6
1315,"一",3
1315,"一",4
1315,"二",6
1316,"一",8
1316,"三",6
1316,"三",7
1317,"一",6
1317,"一",7
1317,"三",8
1321,"二",3
1321,"二",4
1321,"四",2
1322,"三",3
1322,"四",3
1322,"四",4
1323,"四",6
1323,"四",7
1324,"三",4
1324,"四",9
1324,"四",10
1325,"二",1
1325,"二",2
1318,"一",8
1318,"一",9
1318,"三",7
1319,"一",6
1319,"一",7
1319,"二",7
1320,"一",3
1320,"一",4
1320,"二",6
1331,"三",6
1331,"三",7
1331,"五",4
1332,"三",8
1332,"三",9
1332,"四",6
1334,"四",6
1334,"四",7
1334,"五",3
1335,"三",3
1335,"三",4
1335,"五",4
1337,"四",3
1337,"四",4
1337,"五",7
1338,"三",6
1338,"三",7
1338,"五",3
1340,"三",8
1340,"三",9
1340,"五",3
1341,"三",3
1341,"三",4
1341,"五",4
1346,"二",6
1346,"二",7
1347,"二",6
1347,"二",7
1348,"二",8
1349,"四",7
1349,"四",8
1349,"四",9
1350,"三",2
1350,"三",3
1350,"三",4
1351,"三",6
1351,"三",7
1352,"一",2
1352,"一",3
1352,"一",4
1353,"三",8
1353,"三",9
1353,"三",10
1354,"五",6
1354,"五",7
1354,"五",8
1355,"四",2
1355,"四",3
1355,"四",4
1356,"二",2
1356,"二",3
1356,"二",4
1360,"五",2
1360,"五",3
1360,"五",4
1361,"二",9
1362,"四",3
1362,"四",4
1364,"二",8
1367,"二",9
1967,"二",3
1967,"二",4
1967,"五",2
1968,"二",8
1968,"五",8
1968,"五",9
1970,"二",3
1970,"五",8
1970,"五",9
2002,"二",2
2002,"三",1
2002,"三",2
1971,"二",6
1971,"二",7
1971,"四",10
1972,"二",4
1972,"五",1
1972,"五",2
1973,"四",1
1973,"四",2
1973,"五",6
2004,"二",8
2004,"二",9
2004,"四",8
2001,"四",8
2001,"五",8
2001,"五",9
